Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,White,Black or African American,Asian,American Indian and Alaska Native,Hawaiian and Other Pacific Islander,Two or More Mixed,Other
10465,44862.0,40.1,65450.0,29953.0,6171,13.75551691855022,28667.0,4657.0,1456.0,207,0,1341.0,8534.0
10466,70609.0,35.9,44012.0,19925.0,14429,20.4350720163152,5393.0,53522.0,1383.0,274,67,1018.0,8952.0
10467,98754.0,32.4,36048.0,18137.0,26803,27.141179091479838,18431.0,38002.0,6034.0,790,0,4229.0,31268.0
10468,71822.0,32.0,33776.0,15537.0,22075,30.73570772186795,9472.0,16977.0,2732.0,387,32,2887.0,39335.0
10469,71843.0,36.2,57776.0,22960.0,9246,12.86972982754061,14154.0,39651.0,2792.0,346,260,2178.0,12462.0
10470,14850.0,36.2,58600.0,28734.0,1696,11.42087542087542,6987.0,4834.0,560.0,47,0,314.0,2108.0
10471,22030.0,43.6,71798.0,43630.0,1726,7.834770767135724,15985.0,1753.0,1707.0,0,0,592.0,1993.0
10472,68898.0,30.4,30288.0,14652.0,24273,35.230340503352785,10306.0,21006.0,4116.0,357,0,6430.0,26683.0
10473,58660.0,36.1,35866.0,19561.0,15513,26.44561882032049,13158.0,22641.0,1224.0,272,0,1502.0,19863.0
10474,12519.0,29.1,25676.0,11410.0,4803,38.36568416007668,3882.0,4107.0,45.0,40,0,479.0,3966.0
10475,43231.0,46.5,43629.0,25870.0,4850,11.218801323124609,7762.0,26130.0,497.0,301,0,1517.0,7024.0
10501,1217.0,39.9,143529.0,62287.0,34,2.7937551355792936,1155.0,31.0,18.0,0,0,9.0,4.0
